INDEX,NAME,루테인(mg),비타민A(ug),비타민D(ug),비타민E(mg),비타민K(ug),비타민C(mg),비타민B2(mg),아연(mg),셀렌(ug),철(mg),마그네슘(mg),EPA(mg),프로바이오틱스(CFU),실리마린(mg),나이아신(mg),올리고당(g),칼슘(mg),비타민B6(mg),베타카로틴(mg),판토텐산(mg),비오틴(ug),망간(mg),크롬(ug),엽산(ug),구리(mg),몰리브덴(ug)
72,표고버섯,0,0,5,0,0,0,3.894578313,3.87195122,0.507713708,1.872909699,1.970149254,0,0,0,0.902606049,0,0.172413793,5,0,5,0.210880196,0.169042524,0,0.642129992,0.947089947,0.292425695
73,멸치,0,0,0,0,0,0.0544959128,0.78313253,0,0,2.006688963,0,0,0,0,4.184896329,0,2.591431557,0,0,0,0,0,0,0,0,0
74,참굴,0,0,0,0,0,0.217983651,0.993975904,0,0,0.724637681,0,0,0,0,1.997336884,0,0.39184953,0,0,0,0,0,0,0,0,0
75,연어,0,0,0,0,0,0.0544959128,0.451807229,0,0,0.613154961,0,0,0,0,3.566673007,0,0.12539185,0,0,0,0,0,0,0,0,0
76,고등어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,꽁치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,청어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,참다랑어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,방어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,참가자미,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,대구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,삼치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,꽃새우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,꽃게,0,0,0,0,0,0,0.210843373,0,0,1.672240803,0,0,0,0,1.236446643,0,0.616509927,0,0,0,0,0,0,0,0,0
86,꼬막,0,0,0,0,0,0,0.722891566,0,0,3.790412486,0,0,0,0,1.616891763,0,0.433646813,0,0,0,0,0,0,0,0,0
